feature,coefficient
PaperlessBilling,0.30535257947742755
SeniorCitizen,0.22561844109241
InternetService,0.22337410129276253
PaymentMethod,0.09536757509656198
MultipleLines,0.0943652879151378
MonthlyCharges,0.02376724661357781
StreamingTV,0.018035164890351514
StreamingMovies,0.0035864390878921066
TotalCharges,0.00021874627002666614
gender,-0.004069010927155083
Partner,-0.03983842169114861
tenure,-0.04739286688398799
DeviceProtection,-0.06166588596630677
OnlineBackup,-0.14327292741873018
Dependents,-0.2486026844785622
TechSupport,-0.25294384287032623
OnlineSecurity,-0.2826279823877156
Contract,-0.7879367776532047
PhoneService,-0.9459475610149871
